throttle,clutch,wheelAngularSpeed,t_feedback,t_eng,t_loss,t_flywheel,flywheelAngularSpeed,torqueOut,timestamp:1430988030
0.7,0.5,50,100,55.5947,2,-46.4053,-0.0154684,75.0232,
0.75,0.5,0,0,0,-0.00309368,0.00309368,-0.0154674,0.0232011,
0.75,0.5,7.73369e-005,7.73369e-006,0,-0.00309348,0.00308574,-0.0154664,0.0233155,
0.75,0.5,0.00015503,1.5503e-005,0,-0.00309327,0.00307777,-0.0154653,0.0234305,
0.75,0.5,0.00023308,2.3308e-005,0,-0.00309307,0.00306976,-0.0154643,0.0235461,
0.75,0.5,0.000311489,3.11489e-005,0,-0.00309286,0.00306171,-0.0154633,0.0236622,
0.75,0.5,0.000390259,3.90259e-005,0,-0.00309266,0.00305363,-0.0154623,0.0237788,
0.75,0.5,0.000469392,4.69392e-005,0,-0.00309245,0.00304551,-0.0154613,0.023896,
0.75,0.5,0.000548888,5.48888e-005,0,-0.00309225,0.00303736,-0.0154602,0.0240137,
0.75,0.5,0.000628751,6.28751e-005,0,-0.00309205,0.00302917,-0.0154592,0.024132,
0.75,0.5,0.000708981,7.08981e-005,0,-0.00309185,0.00302095,-0.0154582,0.0242508,
0.75,0.5,0.000789581,7.89581e-005,0,-0.00309164,0.00301269,-0.0154572,0.0243702,
0.75,0.5,0.000870552,8.70552e-005,0,-0.00309144,0.00300439,-0.0154562,0.0244902,
0.75,0.5,0.000951896,9.51896e-005,0,-0.00309124,0.00299605,-0.0154552,0.0246107,
0.75,0.5,0.00103361,0.000103361,0,-0.00309104,0.00298768,-0.0154542,0.0247318,
0.75,0.5,0.00111571,0.000111571,0,-0.00309085,0.00297927,-0.0154532,0.0248534,
0.75,0.5,0.00119818,0.000119818,0,-0.00309065,0.00297083,-0.0154522,0.0249756,
0.75,0.5,0.00128103,0.000128103,0,-0.00309045,0.00296235,-0.0154513,0.0250984,
0.75,0.5,0.00136427,0.000136427,0,-0.00309025,0.00295382,-0.0154503,0.0252218,
0.75,0.5,0.00144789,0.000144789,0,-0.00309005,0.00294527,-0.0154493,0.0253458,
0.75,0.5,0.00153189,0.000153189,0,-0.00308986,0.00293667,-0.0154483,0.0254703,
0.75,0.5,0.00161628,0.000161628,0,-0.00308966,0.00292803,-0.0154473,0.0255954,
0.75,0.5,0.00170106,0.000170106,0,-0.00308947,0.00291936,-0.0154464,0.0257211,
0.75,0.5,0.00178623,0.000178623,0,-0.00308927,0.00291065,-0.0154454,0.0258474,
0.75,0.5,0.00187179,0.000187179,0,-0.00308908,0.0029019,-0.0154444,0.0259743,
0.75,0.5,0.00195775,0.000195775,0,-0.00308888,0.00289311,-0.0154435,0.0261018,
0.75,0.5,0.0020441,0.00020441,0,-0.00308869,0.00288428,-0.0154425,0.0262299,
0.75,0.5,0.00213085,0.000213085,0,-0.0030885,0.00287541,-0.0154415,0.0263586,
0.75,0.5,0.00221801,0.000221801,0,-0.00308831,0.00286651,-0.0154406,0.0264879,
0.75,0.5,0.00230556,0.000230556,0,-0.00308812,0.00285756,-0.0154396,0.0266178,
0.75,0.5,0.00239352,0.000239352,0,-0.00308793,0.00284857,-0.0154387,0.0267483,
0.75,0.5,0.00248188,0.000248188,0,-0.00308774,0.00283955,-0.0154377,0.0268794,
0.75,0.5,0.00257065,0.000257065,0,-0.00308755,0.00283048,-0.0154368,0.0270112,
0.75,0.5,0.00265983,0.000265983,0,-0.00308736,0.00282138,-0.0154359,0.0271435,
0.75,0.5,0.00274942,0.000274942,0,-0.00308717,0.00281223,-0.0154349,0.0272765,
0.75,0.5,0.00283943,0.000283943,0,-0.00308698,0.00280304,-0.015434,0.0274101,
0.75,0.5,0.00292985,0.000292985,0,-0.0030868,0.00279381,-0.015433,0.0275443,
0.75,0.5,0.00302069,0.000302069,0,-0.00308661,0.00278454,-0.0154321,0.0276792,
0.75,0.5,0.00311194,0.000311194,0,-0.00308642,0.00277523,-0.0154312,0.0278147,
0.75,0.5,0.00320362,0.000320362,0,-0.00308624,0.00276588,-0.0154303,0.0279508,
0.75,0.5,0.00329572,0.000329572,0,-0.00308605,0.00275648,-0.0154294,0.0280876,
0.75,0.5,0.00338825,0.000338825,0,-0.00308587,0.00274705,-0.0154284,0.028225,
0.75,0.5,0.0034812,0.00034812,0,-0.00308569,0.00273757,-0.0154275,0.0283631,
0.75,0.5,0.00357459,0.000357459,0,-0.0030855,0.00272805,-0.0154266,0.0285018,
0.75,0.5,0.0036684,0.00036684,0,-0.00308532,0.00271848,-0.0154257,0.0286412,
0.75,0.5,0.00376265,0.000376265,0,-0.00308514,0.00270888,-0.0154248,0.0287812,
0.75,0.5,0.00385733,0.000385733,0,-0.00308496,0.00269923,-0.0154239,0.0289219,
0.75,0.5,0.00395245,0.000395245,0,-0.00308478,0.00268954,-0.015423,0.0290632,
0.75,0.5,0.00404801,0.000404801,0,-0.0030846,0.0026798,-0.0154221,0.0292052,
0.75,0.5,0.00414401,0.000414401,0,-0.00308442,0.00267002,-0.0154212,0.0293479,
0.75,0.5,0.00424046,0.000424046,0,-0.00308425,0.0026602,-0.0154203,0.0294912,
0.75,0.5,0.00433735,0.000433735,0,-0.00308407,0.00265033,-0.0154195,0.0296352,
0.75,0.5,0.00443469,0.000443469,0,-0.00308389,0.00264042,-0.0154186,0.0297799,
0.75,0.5,0.00453248,0.000453248,0,-0.00308372,0.00263047,-0.0154177,0.0299253,
0.75,0.5,0.00463072,0.000463072,0,-0.00308354,0.00262047,-0.0154168,0.0300713,
0.75,0.5,0.00472941,0.000472941,0,-0.00308337,0.00261042,-0.015416,0.0302181,
0.75,0.5,0.00482856,0.000482856,0,-0.00308319,0.00260034,-0.0154151,0.0303655,
0.75,0.5,0.00492817,0.000492817,0,-0.00308302,0.0025902,-0.0154142,0.0305136,
0.75,0.5,0.00502824,0.000502824,0,-0.00308285,0.00258002,-0.0154134,0.0306624,
0.75,0.5,0.00512877,0.000512877,0,-0.00308267,0.0025698,-0.0154125,0.0308119,
0.75,0.5,0.00522977,0.000522977,0,-0.0030825,0.00255953,-0.0154117,0.0309621,
0.75,0.5,0.00533123,0.000533123,0,-0.00308233,0.00254921,-0.0154108,0.0311131,
0.75,0.5,0.00543317,0.000543317,0,-0.00308216,0.00253884,-0.01541,0.0312647,
0.75,0.5,0.00553557,0.000553557,0,-0.00308199,0.00252844,-0.0154091,0.031417,
0.75,0.5,0.00563845,0.000563845,0,-0.00308182,0.00251798,-0.0154083,0.0315701,
0.75,0.5,0.0057418,0.00057418,0,-0.00308166,0.00250748,-0.0154074,0.0317239,
0.75,0.5,0.00584563,0.000584563,0,-0.00308149,0.00249693,-0.0154066,0.0318784,
0.75,0.5,0.00594995,0.000594995,0,-0.00308132,0.00248633,-0.0154058,0.0320336,
0.75,0.5,0.00605474,0.000605474,0,-0.00308116,0.00247568,-0.015405,0.0321895,
0.75,0.5,0.00616002,0.000616002,0,-0.00308099,0.00246499,-0.0154041,0.0323462,
0.75,0.5,0.00626579,0.000626579,0,-0.00308083,0.00245425,-0.0154033,0.0325037,
0.75,0.5,0.00637205,0.000637205,0,-0.00308066,0.00244346,-0.0154025,0.0326618,
0.75,0.5,0.0064788,0.00064788,0,-0.0030805,0.00243262,-0.0154017,0.0328207,
0.75,0.5,0.00658604,0.000658604,0,-0.00308034,0.00242173,-0.0154009,0.0329804,
0.75,0.5,0.00669378,0.000669378,0,-0.00308018,0.0024108,-0.0154001,0.0331408,
0.75,0.5,0.00680202,0.000680202,0,-0.00308002,0.00239981,-0.0153993,0.0333019,
0.75,0.5,0.00691075,0.000691075,0,-0.00307986,0.00238878,-0.0153985,0.0334639,
0.75,0.5,0.00702,0.000702,0,-0.0030797,0.0023777,-0.0153977,0.0336265,
0.75,0.5,0.00712975,0.000712975,0,-0.00307954,0.00236656,-0.0153969,0.03379,
0.75,0.5,0.00724,0.000724,0,-0.00307938,0.00235538,-0.0153961,0.0339542,
0.75,0.5,0.00735077,0.000735077,0,-0.00307922,0.00234415,-0.0153953,0.0341192,
0.75,0.5,0.00746205,0.000746205,0,-0.00307907,0.00233286,-0.0153946,0.0342849,
0.75,0.5,0.00757385,0.000757385,0,-0.00307891,0.00232153,-0.0153938,0.0344514,
0.75,0.5,0.00768616,0.000768616,0,-0.00307876,0.00231014,-0.015393,0.0346188,
0.75,0.5,0.00779899,0.000779899,0,-0.0030786,0.0022987,-0.0153922,0.0347869,
0.75,0.5,0.00791235,0.000791235,0,-0.00307845,0.00228722,-0.0153915,0.0349558,
0.75,0.5,0.00802623,0.000802623,0,-0.0030783,0.00227567,-0.0153907,0.0351254,
0.75,0.5,0.00814064,0.000814064,0,-0.00307815,0.00226408,-0.01539,0.0352959,
